2068	123273	"Abang Pawozan, Abg. Mohd. Mohtar"	"Mohd. Mohtar Abang Pawozan"	"Mohd. "	"Pawozan"
1826	133446	"Abrahamson, Warren G."	"Warren G. Abrahamson"	"Warren "	"Abrahamson"
2026	121044	"Adams, Robert P."	"Robert P. Adams"	"Robert "	"Adams"
2026	174961	"Adams, Robert Perry"	"Robert P. Adams"	"Robert "	"Adams"
2026	140789	"Adamson, Robert Stephen"	"Robert P. Adams"	"Robert "	"Adams"
416989	123862	"Alford, Mac Haverson"	"Mac Alford"	"Mac "	"Alford"
1387	141308	"Allen, Bruce H."	"Bruce H. Allen"	"Bruce "	"Allen"
1387	164702	"Allen, Bruce Hampton"	"Bruce H. Allen"	"Bruce "	"Allen"
1817	118745	"Allen, Geraldine A."	"Geraldine A. Allen"	"Geraldine "	"Allen"
1099	100838	"Allen, Paul Hamilton"	"Paul Hamilton"	"Paul "	"Hamilton"
1387	174705	"Allender, Bruce M."	"Bruce H. Allen"	"Bruce "	"Allen"
1819	148642	"Allred, Kelly W."	"Kelly Allred"	"Kelly "	"Allred"
656709	102991	"Alves, Ruy Jose Valka"	"Ruy José Válka Alves"	"Ruy "	"Alves"
1918	137167	"Ammann, Klaus H."	"Klaus H. Ammann"	"Klaus "	"Ammann"
2050	110230	"Amos, Bonnie B."	"Bonnie B. Amos"	"Bonnie "	"Amos"
602246	111913	"Anagnostakis, Sandra L."	"Sandra L. Anagnostak"	"Sandra "	"Anagnostak"
1135	174532	"Anderberg, Arne A."	"Arne Anderberg"	"Arne "	"Anderberg"
2092	149520	"Anderegg, Doyle E."	"Doyle E. Anderegg"	"Doyle "	"Anderegg"
1400	106741	"Anderson, Loran Crittenden"	"Loran C. Anderson"	"Loran "	"Anderson"
1028	168294	"Anderson, Roger Arthur"	"Roger Anderson"	"Roger "	"Anderson"
1714	110940	"Anton, Ana María"	"Ana Anton"	"Ana "	"Anton"
1637	135146	"Antonio, Thomas M."	"Thomas M. Antonio"	"Thomas "	"Antonio"
1567	131281	"Arambarri, Ana M."	"Ana M. Arambarri"	"Ana "	"Arambarri"
570547	106825	"Armstrong, James Andrew"	"James Armstrong"	"James "	"Armstrong"
2013	106825	"Armstrong, James Andrew"	"James A. Armstrong"	"James "	"Armstrong"
